number,date,launch_name,cosmodrome,booster_rocket,result
1,04.10.1957 22:28:34,Запуск первого искусственного спутника Земли,Байконур,Спутник,Успешный
2,03.11.1957 05:30:42,Запуск второго искусственного спутника Земли,Байконур,Спутник,Успешный
3,27.04.1958 12:01,Запуск космического аппарата,Байконур,Спутник,Аварийный
4,15.05.1958 10:00:36,Запуск третьего советского искусственного спутника Земли,Байконур,Спутник,Успешный
5,23.09.1958 10:40:23,Запуск автоматической межпланетной станции к Луне,Байконур,Восток,Аварийный
6,12.10.1958 00:41:58,Запуск автоматической межпланетной станции к Луне,Байконур,Восток,Аварийный
7,04.12.1958 21:18:45,Запуск автоматической межпланетной станции к Луне,Байконур,Восток,Аварийный
8,02.01.1959 19:41:24,Запуск автоматической межпланетной станции «Луна-1»,Байконур,Восток,Успешный
9,18.06.1959 11:08,Запуск автоматической межпланетной станции к Луне,Байконур,Восток,Аварийный
10,12.09.1959 09:39:42,Запуск автоматической межпланетной станции «Луна-2»,Байконур,Восток,Успешный
11,04.10.1959 03:43:40,Запуск автоматической межпланетной станции «Луна-3»,Байконур,Восток,Успешный
